CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
02-1-112288,31.5271,249.335,9.90948,3.8599,0.0604,3.7415,3.9783
09-1-000387,-12.8406,129.667,38.6654,3.8239,0.0587,3.7088,3.9391
09-1-001076,-43.6194,164.378,13.5696,3.8692,0.0627,3.7462,3.9921
05-1-001736,-57.568,343.504,12.1907,3.845,0.0552,3.7369,3.9531
01-1-000536,80.3329,126.069,14.8757,3.7513,0.054,3.6455,3.857
02-1-117550,33.5853,224.115,9.60392,3.954,0.0441,3.8676,4.0403
09-2-000038,-8.39046,112.16,28.995,3.9412,0.0576,3.8283,4.054
06-1-000695,22.4604,48.5318,11.6039,3.3079,0.0788,3.1533,3.4624
08-1-000883,39.4496,135.534,11.0702,3.8767,0.066,3.7474,4.006
08-1-054109,13.4235,161.846,8.65446,3.8476,0.0675,3.7153,3.9799
03-1-000801,-32.2313,186.357,28.3952,3.7134,0.0719,3.5725,3.8543
07-1-000573,-19.5327,27.6242,9.16252,3.8625,0.0761,3.7133,4.0116
07-1-000492,-17.671,8.47395,27.2362,3.8842,0.0475,3.7912,3.9773
07-1-002077,-45.8256,45.0507,15.4572,3.8681,0.0532,3.7638,3.9724
05-1-112153,-51.5937,306.528,8.72451,3.9215,0.0554,3.813,4.03
03-1-138231,-50.5337,241.561,9.68479,3.9654,0.037,3.8929,4.0378
09-1-001428,-55.1248,158.187,17.2086,3.9267,0.0383,3.8517,4.0017
10-1-159110,-65.9998,192.348,9.15355,3.8812,0.0607,3.7623,4.0001
08-1-016711,4.24576,99.0596,25.6878,3.9533,0.0439,3.8672,4.0393
08-1-109945,26.9136,136.375,13.6545,3.9416,0.0637,3.8168,4.0664
02-1-131531,39.2785,238.334,10.2023,3.8627,0.0594,3.7463,3.9791
08-1-087170,22.4408,94.7635,8.57231,3.8872,0.0709,3.7482,4.0262
08-1-000844,40.1093,140.31,30.8531,3.8667,0.0761,3.7177,4.0158
06-2-000051,19.8314,7.53616,13.7257,3.926,0.0514,3.8253,4.0267
09-1-001519,-55.2341,103.994,35.8227,3.8934,0.0687,3.7587,4.0281
02-1-001797,11.6615,197.863,28.2363,3.905,0.0509,3.8051,4.0048
01-1-000296,72.3084,205.73,8.77685,3.8786,0.0664,3.7485,4.0088
05-1-001347,-51.5057,293.727,21.1269,3.8618,0.0644,3.7356,3.9881
06-1-000546,32.6731,86.4018,8.60997,3.8007,0.0763,3.6512,3.9503
02-1-002525,0.705809,187.634,11.9322,3.9144,0.0458,3.8246,4.0042
08-1-085048,21.7821,129.134,10.4495,3.8895,0.0753,3.742,4.037
09-1-149879,-41.0218,172.301,9.63242,3.8707,0.0538,3.7652,3.9761
08-1-001413,26.8202,119.534,38.4076,3.8979,0.0747,3.7516,4.0443
03-1-117258,-40.4684,245.39,9.02895,3.9159,0.071,3.7768,4.055
07-1-128309,-35.005,42.6892,8.12631,3.9265,0.0623,3.8044,4.0485
07-1-001383,-31.5387,60.0938,21.7241,3.8956,0.0564,3.7851,4.0061
09-1-166728,-47.1449,167.088,8.99611,3.8376,0.0488,3.742,3.9333
08-1-000448,49.178,108.138,16.1506,3.8805,0.0673,3.7487,4.0124
10-1-000316,-69.8693,40.1152,11.3521,3.9073,0.0612,3.7873,4.0273
02-1-001010,29.0627,213.345,9.44264,3.538,0.0677,3.4054,3.6706
03-2-001778,-29.518,227.657,13.8672,3.8984,0.0538,3.793,4.0038
02-1-081056,21.3929,209.653,8.64807,3.849,0.0691,3.7136,3.9844
09-1-000351,-14.0313,139.452,74.8699,3.95,0.0717,3.8095,4.0905
09-1-053121,-13.2324,91.0268,11.4068,3.8985,0.0568,3.7872,4.0098
01-1-000822,83.1352,291.514,16.1409,3.9055,0.0576,3.7927,4.0184
02-1-127772,38.3431,180.801,12.2265,3.9417,0.0704,3.8036,4.0798
02-2-000902,25.0693,219.34,8.07813,3.9446,0.063,3.8211,4.0681
06-1-000465,31.1016,69.3059,11.8039,3.8531,0.0595,3.7365,3.9696
02-1-045522,11.8019,269.246,9.42209,3.9353,0.0634,3.811,4.0596
01-1-000147,68.307,184.281,55.3995,3.915,0.0715,3.7749,4.0552
09-1-156350,-43.6986,158.133,8.96229,3.7904,0.0612,3.6704,3.9103
08-1-074088,19.3011,145.126,13.0759,3.9434,0.0592,3.8273,4.0595
02-1-032067,8.06313,207.733,24.1823,3.9575,0.0569,3.846,4.0691
02-2-002029,6.79402,267.137,88.7838,3.9324,0.0561,3.8224,4.0423
