CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
07-1-138869,-36.2696,31.4731,8.86114,3.9135,0.0448,3.8257,4.0014
08-1-215403,58.9545,122.463,6.39393,3.8994,0.0646,3.7729,4.026
01-1-116538,80.5652,42.5924,5.4392,3.8262,0.0632,3.7023,3.95
07-1-183132,-47.1804,56.1124,8.0401,3.9203,0.0515,3.8194,4.0213
02-2-000070,47.1299,244.873,55.1233,3.9755,0.0419,3.8933,4.0577
08-1-145351,35.5046,118.153,6.44114,3.8942,0.0653,3.7662,4.0221
09-1-003773,-0.539988,129.498,6.12006,3.8291,0.0465,3.7379,3.9203
04-1-107877,56.0852,297.545,7.99088,3.9271,0.0434,3.8421,4.0121
07-1-001267,-36.4213,38.4102,6.71671,3.8981,0.0596,3.7814,4.0148
10-1-001085,-70.9451,216.224,14.9695,3.9338,0.0458,3.8441,4.0235
07-1-075487,-20.6637,11.6177,7.56114,3.8632,0.0663,3.7332,3.9932
09-2-001345,-30.2809,91.9927,9.25623,3.9237,0.0489,3.8279,4.0195
04-2-018921,58.6414,273.115,7.34015,3.9235,0.0573,3.8112,4.0358
05-1-057846,-26.0853,306.812,6.09992,3.8927,0.0762,3.7433,4.0422
08-1-032359,8.54906,149.758,18.0451,3.9498,0.0549,3.8422,4.0574
09-1-062503,-16.201,115.691,6.72212,3.9095,0.0555,3.8008,4.0183
07-2-003169,-44.3008,45.9644,21.4077,3.9415,0.066,3.8122,4.0708
02-1-027768,7.971,231.445,13.764,3.7596,0.0773,3.608,3.9112
07-1-206884,-53.8185,8.33738,8.92099,3.8764,0.061,3.7569,3.996
08-1-194330,49.1673,103.199,7.072,3.8405,0.0438,3.7546,3.9263
02-1-173771,56.8282,250.556,9.32525,3.9441,0.0556,3.835,4.0532
02-1-154518,47.5608,214.725,6.24107,3.9361,0.0435,3.8508,4.0214
07-1-002217,-51.697,82.5375,16.8098,3.6516,0.0712,3.512,3.7912
05-1-001679,-56.1934,282.014,11.2626,3.9058,0.0535,3.801,4.0105
01-1-068725,65.4316,104.237,9.67016,3.8899,0.0518,3.7882,3.9915
01-1-126803,81.0976,345.682,7.61248,3.8755,0.071,3.7363,4.0147
09-1-078275,-20.5004,136.89,7.40189,3.923,0.0793,3.7677,4.0784
04-1-000274,46.115,291.807,11.832,3.2095,0.055,3.1017,3.3173
07-1-206344,-51.9884,7.66346,6.89242,3.9276,0.0617,3.8067,4.0485
01-1-010721,66.8056,177.033,5.70425,3.8142,0.0585,3.6996,3.9289
03-1-001172,-46.3266,188.295,21.3195,3.9189,0.0761,3.7697,4.068
08-1-145313,35.3883,118.733,7.24933,3.8602,0.0383,3.7851,3.9353
10-1-001200,-62.0434,149.979,7.32283,3.8741,0.0653,3.7461,4.0022
04-1-001718,0.0756662,287.885,6.46644,3.9458,0.0606,3.8269,4.0646
07-1-001969,-49.2474,6.28974,80.2427,3.9777,0.0512,3.8774,4.078
05-1-001800,-58.5808,282.883,14.6055,3.9347,0.0571,3.8227,4.0467
07-2-000018,-21.0052,2.98081,31.2016,3.941,0.0739,3.7962,4.0858
07-1-001931,-44.4312,7.00669,9.77589,3.9462,0.0525,3.8433,4.049
10-1-120466,-76.3799,141.621,7.71683,3.6487,0.0731,3.5054,3.792
10-1-042829,-70.5166,314.793,8.22178,3.7913,0.0624,3.6689,3.9136
09-1-007634,-1.67359,174.167,16.3537,3.9124,0.0606,3.7937,4.0312
02-1-135511,41.0208,249.205,12.7665,3.9362,0.0589,3.8207,4.0517
02-1-049320,12.8534,187.388,6.08813,3.9011,0.0487,3.8056,3.9966
02-2-000510,12.384,196.512,10.1233,3.9259,0.0657,3.7972,4.0546
03-1-097302,-33.4181,211.254,7.05937,3.7838,0.0462,3.6933,3.8744
09-1-000562,-18.0743,114.873,13.3222,3.8669,0.0512,3.7667,3.9672
05-1-000986,-42.4699,336.385,8.81046,3.8748,0.061,3.7551,3.9944
02-1-007607,1.72094,210.314,8.46743,3.959,0.0677,3.8263,4.0916
01-1-024944,69.9665,212.184,5.58373,3.839,0.0601,3.7212,3.9568
03-1-104232,-34.4404,180.907,7.41319,3.9074,0.0578,3.7941,4.0207
09-1-090984,-23.6451,120.912,7.503,3.8143,0.0638,3.6892,3.9394
10-1-079107,-85.5198,329.219,6.74263,3.8126,0.0577,3.6996,3.9256
01-2-000874,88.3563,136.084,5.05664,3.8347,0.0641,3.709,3.9604
05-2-012865,-35.3307,280.676,18.4271,3.9145,0.0604,3.796,4.0329
02-1-001556,17.8584,233.117,16.734,3.9067,0.0557,3.7975,4.0159
03-1-001327,-56.0427,233.282,9.67975,3.9031,0.0492,3.8066,3.9996
08-1-000119,57.9677,144.386,22.595,3.896,0.0699,3.7591,4.033
07-1-109842,-29.8992,40.3092,8.10926,3.8545,0.0587,3.7394,3.9695
09-1-053173,-13.6348,90.2868,8.5869,3.8802,0.046,3.79,3.9704
03-1-001101,-50.5574,222.624,66.809,3.9678,0.065,3.8404,4.0951
08-1-216985,59.8331,172.819,6.15317,3.8869,0.059,3.7712,4.0025
09-1-031929,-7.46258,136.59,6.39596,3.9202,0.0792,3.7649,4.0754
02-1-000397,45.9358,191.809,12.4176,3.8836,0.0433,3.7987,3.9686
03-1-068915,-22.4481,231.328,7.64676,3.8546,0.0527,3.7513,3.958
08-1-000208,55.448,173.567,9.88005,3.9036,0.0449,3.8155,3.9917
01-1-001217,70.7234,40.1854,15.0818,3.9342,0.0506,3.8349,4.0334
02-1-122024,36.1071,187.004,19.6294,3.9237,0.0768,3.7733,4.0742
03-1-093790,-31.9925,208.084,6.43255,3.9582,0.0572,3.8461,4.0702
09-1-166836,-46.636,169.795,6.8014,3.8909,0.0624,3.7685,4.0133
09-1-032545,-7.34122,146.822,6.57916,3.8546,0.059,3.7389,3.9704
09-1-007513,-1.80418,177.176,9.36523,3.9337,0.0539,3.828,4.0395
09-1-094934,-24.5686,124.547,8.93228,3.8348,0.0787,3.6805,3.989
02-1-020402,5.46838,264.464,5.82996,3.8679,0.0686,3.7334,4.0024
06-1-000493,31.8855,81.9085,9.26397,3.8826,0.0415,3.8012,3.9639
05-1-000640,-34.8861,334.698,10.9288,3.929,0.0572,3.8169,4.041
07-1-194283,-50.4732,89.8611,9.26019,3.8591,0.0733,3.7155,4.0027
09-1-047295,-11.9532,133.892,7.24909,3.9274,0.0701,3.7899,4.0648
05-1-001914,-58.9308,280.453,8.69292,3.6088,0.0561,3.4988,3.7188
01-1-111507,71.3355,286.6,6.4515,3.8249,0.0588,3.7096,3.9402
02-1-172236,55.805,227.652,10.2463,3.6038,0.0718,3.4632,3.7445
08-1-187874,48.364,101.856,6.90491,3.9146,0.059,3.799,4.0301
09-1-144130,-39.1014,144.333,6.11095,3.8343,0.0665,3.704,3.9646
09-2-001841,-43.8167,178.327,6.02626,3.7186,0.0793,3.5631,3.874
01-1-000844,64.9869,277.019,9.48316,3.6944,0.0733,3.5507,3.8381
03-1-078089,-26.7561,217.549,6.29681,3.8799,0.0697,3.7433,4.0165
09-1-002213,-0.262029,99.8739,7.32873,3.8819,0.0578,3.7686,3.9951
03-1-136944,-48.9863,251.599,10.7577,3.948,0.0634,3.8236,4.0723
